card_uid,place_id,geometry,name,photos,vicinity,update,business_status,likes,dislikes,mustDos
10,ChIJbzYnQte8woARJaqqFVpKeNo,"{'location': {'lat': 34.07803579999999, 'lng': -118.4740954}, 'viewport': {'northeast': {'lat': 34.09341995, 'lng': -118.4729818}, 'southwest': {'lat': 34.07290775000001, 'lng': -118.4774362}}}",The Getty,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110068846496714746810"">Suman Dutta</a>'], 'photo_reference': 'AeJbb3feTkvE3UkHcqksYU30sgx37zk_5XbFOP1QvpK5FIPxsc9U3rvfP5Xpk6wjlbuWHMo7DARuy4E5WwUnmFfIQ7UvDn4hR_4B2NvLovvd7xfFY7IEqus8TKJJBqpEUBLYKUKKZIVAZUcF3KrfFMFkoNnDAsu2vlydAiZ0iGUSvdApSWqN', 'width': 4928}]","1200 Getty Center Dr, Los Angeles",23/07/2022,0.0,0,0,0
11,ChIJzzgyJU--woARcZqceSdQ3dM,"{'location': {'lat': 34.13811680000001, 'lng': -118.3533783}, 'viewport': {'northeast': {'lat': 34.14022815000001, 'lng': -118.34702325}, 'southwest': {'lat': 34.13178275000001, 'lng': -118.36030945}}}",Universal Studios Hollywood,"[{'height': 408, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107539723157156215673"">A Google User</a>'], 'photo_reference': 'AeJbb3fV4VzS6ZRpiwuFphCsiDIBOwSPq5EO1w1JE03vvzYX0k_c9Bc9r0wIqJvaIUgTD-xo0hHmcEtf1YFG9_f3hUaHlkk48WrPyVyZ_CVCIR_NXSmBR0rSG3UqQzFTy8DPzhVwUuM3sh5q8bTyNDYMwbYDeiFTYQz1F37VNcoccQwLE5AH', 'width': 612}]","100 Universal City Plaza, Universal City",23/07/2022,0.0,0,0,0
12,ChIJfVpQRQq_woARQ5hwJsast6s,"{'location': {'lat': 34.1341151, 'lng': -118.3215482}, 'viewport': {'northeast': {'lat': 34.14120219999999, 'lng': -118.2894589}, 'southwest': {'lat': 34.11410300000001, 'lng': -118.3326229}}}",Hollywood Sign,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101891712884584145153"">Joachim Hellqvist</a>'], 'photo_reference': 'AeJbb3c-gXd2EoBd3LeuRiDBFSSuF1gJqgdSEj3lBR_U6wRF5RrebM7LI7t_mcTUsQJU6dFa5F7RAXr9w5w4LdMYNCAjXnYOA3ixVtpHOMvDPKpxCq6vaDBKRRk7B-4Uk027eB67PZ5saiNrMeXFrY3EuvCXU2PYAy92q6jeTH8TgRocKSA', 'width': 1200}]",Los Angeles,23/07/2022,0.0,0,0,0
13,ChIJXzARBf3HwoARJyT7uZSV-G4,"{'location': {'lat': 34.0169567, 'lng': -118.2887764}, 'viewport': {'northeast': {'lat': 34.01893005, 'lng': -118.2862909}, 'southwest': {'lat': 34.01571704999999, 'lng': -118.2914181}}}",Natural History Museum of Los Angeles County,"[{'height': 897, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110103369599199315310"">Joker System</a>'], 'photo_reference': 'AeJbb3eutZ39fdk1wSj_9uoLuP597z3vh6yRaAKBoDlfA1MQo3KLjvQ1NqswbjLdo318sHrZDmUCYIXyWmy98LIUcF5cw_q8sq86zFrONcJPpFIsy2KnfbjEqXhMixf40yPJAoqLnzob6OyrIl24ACcNBz9g8bXPlaCm0kdsWriF4SJ8YdY7', 'width': 1339}]","900 W Exposition Blvd, Los Angeles",23/07/2022,0.0,0,0,0
14,ChIJm6deTdekwoARTY_RzhoRms0,"{'location': {'lat': 34.0099215, 'lng': -118.4960063}, 'viewport': {'northeast': {'lat': 34.01142192989271, 'lng': -118.4948853701073}, 'southwest': {'lat': 34.00872227010727, 'lng': -118.4975850298927}}}",Santa Monica Pier,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115078951574733778851"">Xu Li</a>'], 'photo_reference': 'AeJbb3evraQKU8xXejaNkSz6-I_cGUaBltHxgvgV0ZmYRp8AJq_zNm2CpJLZs8EHVNi7XDGVIonFYPqPeze2Q0TLX-L9lkR4-DL-G1cZgQAKVZ7h3OB6RthxSVyz5hKhJN3dY3DrVY7XFGtWOzxqIp3BTNKXbwn4Wn7x0X7e1ewd_iHoag7I', 'width': 3024}]","200 Santa Monica Pier, Santa Monica",23/07/2022,0.0,0,0,0
15,ChIJS8kiFbPHwoAR2U3en8iDAzI,"{'location': {'lat': 34.0511063, 'lng': -118.2543871}, 'viewport': {'northeast': {'lat': 34.05243412989272, 'lng': -118.2530821201073}, 'southwest': {'lat': 34.04973447010728, 'lng': -118.2557817798928}}}",OUE Skyspace LA,"[{'height': 4594, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116226363536134655648"">Oscar Moreno Fosado</a>'], 'photo_reference': 'AeJbb3fKCKJvBqrlE_xe6V79yTZkpocRzXRRqbBoYyZZjjDVIPaUAtXXHc2lBFTiF77L60Mc6MwEcs-Lk_6MY51KHC2pFpGtzgkRT9FiVrdydM3zJkCdCgmesUh_TkHJa6wtFCTuFYSUCvgujh53qwzQ_H-RVkUbRAm1-Hy72z5dlpq3fN6g', 'width': 3482}]","633 W 5th St #840, Los Angeles",23/07/2022,1.0,0,0,0
16,ChIJBYuC8kvGwoAROxBTjwqfWpU,"{'location': {'lat': 34.050604, 'lng': -118.2478573}, 'viewport': {'northeast': {'lat': 34.05204362989272, 'lng': -118.2465599701073}, 'southwest': {'lat': 34.04934397010728, 'lng': -118.2492596298927}}}",Bradbury Building,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110376054347671117708"">Jonathan Lui</a>'], 'photo_reference': 'AeJbb3fj3o-9OwfVcBQzh9w2DZwm4DZfbsmHeShLIvm6CPJWFrcyWT82bv6abO1hl449eEwLs7yw6HNDC5_Jn7XAOMSMM5esjfff6UmG0gu3zQR_MWhW_cWFQUaSXKAnpJKRXCzx7Duc_39DsTLl2aW1GvI1Tv8KESNY709qcH9tBOF6hBNZ', 'width': 3024}]","304 S Broadway, Los Angeles",23/07/2022,0.0,0,0,0
17,ChIJlVSJZ6nAwoARgCGyrTbgNbw,"{'location': {'lat': 34.099975, 'lng': -118.2944389}, 'viewport': {'northeast': {'lat': 34.10148402989272, 'lng': -118.2930622201073}, 'southwest': {'lat': 34.09878437010728, 'lng': -118.2957618798928}}}",Hollyhock House,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101271589174172499419"">Alex Carrillo</a>'], 'photo_reference': 'AeJbb3d3-0e4WZuT-hlzO68WMw56TDZNYhQQ5JdliFqbtxymaIHRtghBI86RqNwyy2uVmVYPB80081g4SVMtjrIiMt9YNa4Bj25ArtIZa2ZOgIbVbEMPb5be7RSdH1OMcmdllwNY8Tvn4NaeJ5ldPaSbIW99P3n2_n03oVgvfp_-dhBrFIP5', 'width': 4032}]","4800 Hollywood Blvd, Los Angeles",23/07/2022,1.0,0,0,0
18,ChIJVVVVVXjJwoARavx_RXJ-v1o,"{'location': {'lat': 33.9388608, 'lng': -118.2419485}, 'viewport': {'northeast': {'lat': 33.94010032989272, 'lng': -118.2406006201073}, 'southwest': {'lat': 33.93740067010728, 'lng': -118.2433002798928}}}",Watts Towers Arts Center,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113224758513008275149"">Steve Reed</a>'], 'photo_reference': 'AeJbb3eCFQDNFpJLas5y1gg2DunmRvgVo4zj9wsX8PgcD4T1mGqLChI-rsvuxZ1q383lzo8TE_OtKWaObXiq1T2e8OKljR-t12FqiFf_Aqcv0xgFLUkUV13z75fXmrK52j8KGgaLNRSOy3AR8YTbRpFlVgRqi2OvZd-YN_Ugan42rdfu7prc', 'width': 3024}]","1727 E 107th St, Los Angeles",23/07/2022,0.0,0,0,0
19,ChIJsXqcyjy5woARNz6sOh0ZmwA,"{'location': {'lat': 34.0639323, 'lng': -118.3592293}, 'viewport': {'northeast': {'lat': 34.06549627989271, 'lng': -118.3578256701073}, 'southwest': {'lat': 34.06279662010727, 'lng': -118.3605253298928}}}",Los Angeles County Museum of Art,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109147016533058323735"">Gabby Vargas</a>'], 'photo_reference': 'AeJbb3c1LrmIk06csjC_xwmOqzmWGdsgwqtxDNYOwTS0iRKqdkGENRvY0PzhtA24qyBJYiyVK_Fv2JhsNjgnsTnEmHZVm5Wf7wlqL_tQ5zP4lWsCPRFq7T9qyhN1o2Wl9BhgEUSXjGczL0eqNhvMbqH-ALhfBXJ0xQqkV9pZClaHirh9Lynn', 'width': 4160}]","5905 Wilshire Blvd, Los Angeles",23/07/2022,0.0,0,0,0
20,ChIJdVYAVPnGwoAR3wmcg09VlJ4,"{'location': {'lat': 34.073851, 'lng': -118.2399583}, 'viewport': {'northeast': {'lat': 34.08170964999999, 'lng': -118.2305416}, 'southwest': {'lat': 34.06932425000001, 'lng': -118.2518368}}}",Dodger Stadium,"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117207125764048201182"">Paige Snider</a>'], 'photo_reference': 'AeJbb3dkIx6PN6ctlMisT3sjvp5IEmVyx0C-OkAOa6Dq6yCH-vTAJJ7FKngLRbVZsmtMTbvxSpFEFqWjw0N202w29pgrgC2fXhMgSKBON74UCcLIUFXngGla-0ARiDa_y6gA8e1NuRHs06yhdBqH0r0AhdNQB8eWv9FDkPNDy9MjcHgCVoGz', 'width': 4048}]","1000 Vin Scully Ave, Los Angeles",23/07/2022,0.0,0,0,0
21,ChIJ1cdRl2XAwoAR_WUoKRXLQTY,"{'location': {'lat': 34.1483481, 'lng': -118.2840899}, 'viewport': {'northeast': {'lat': 34.14955082989272, 'lng': -118.2826694201073}, 'southwest': {'lat': 34.14685117010728, 'lng': -118.2853690798927}}}",Los Angeles Zoo,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101411927450051584718"">Xuyang Liu</a>'], 'photo_reference': 'AeJbb3dln8oTTSBOnU7sJy31kPfK81Eq8GMV4nTGcZHgzEx-b5j09nSuADvtq3dtSvkxKtflAg3HRTWIz9fBo45sb9tMSHWkTdZXZiapQJxCLmM2-jgLNsKatzsJiNDQZbZFkXyOcbHZJhsuseHb8oStQwaXLOgRqHWj5tM0XTajA1DF_-YO', 'width': 5312}]","5333 Zoo Dr, Los Angeles",23/07/2022,0.0,0,0,0
22,ChIJdzBcVka-woARXKXAmSS8NW4,"{'location': {'lat': 34.1364556, 'lng': -118.3539296}, 'viewport': {'northeast': {'lat': 34.13790252989272, 'lng': -118.3523310701073}, 'southwest': {'lat': 34.13520287010728, 'lng': -118.3550307298927}}}",Universal CityWalk Hollywood,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102180713598370620240"">Bruno Nakamura</a>'], 'photo_reference': 'AeJbb3dCmPpYxN1z_Rv8gItP2viqRskar3nhmr8FWz1Z6qHX1FM8ZEaHoyE3b7ahjZ8idp5VKHA6C3ZDf4nZL9R6f7bJIuFf_6qc6pwVQJvpNo_hmIfao91Dc-k9Rw5uSTgGSftCuSjfCimDTr0BD-C6XzcDoG7yWUndJIWVCMsk7-9rN1TN', 'width': 4032}]","100 Universal City Plaza, Universal City",23/07/2022,0.0,0,0,0
23,ChIJc1xhAk3bwoARBBlfKQzXKLM,"{'location': {'lat': 34.1290452, 'lng': -118.1145242}, 'viewport': {'northeast': {'lat': 34.13539975, 'lng': -118.1071622}, 'southwest': {'lat': 34.12514675000001, 'lng': -118.1169782}}}","The Huntington Library, Art Museum, and Botanical Gardens","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106486448736921595332"">editon black</a>'], 'photo_reference': 'AeJbb3eqYhkCyH1KuSoC_hdzsdtdHb4vCu_Fzf07K2SdvcFL1_IctrvyvpMvf7b78Q0CFP6-yQPxoYYrGr9nI78y6d4PZcrqWDCzgNSVF9acHN4Aa2qir2OozH_QL9HBennw3Wj0A4GfZHT5G92ee5QMPU9Zvvn6HYI6TXO6PLgHGJexz13n', 'width': 4032}]","1151 Oxford Rd, San Marino",23/07/2022,0.0,0,0,0
24,ChIJac2PJUm-woAR6zU_WFRUf5A,"{'location': {'lat': 34.1383038, 'lng': -118.3535725}, 'viewport': {'northeast': {'lat': 34.13996362989273, 'lng': -118.35265515}, 'southwest': {'lat': 34.13726397010728, 'lng': -118.35632455}}}",The Wizarding World Of Harry Potter,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111712073514713159494"">Hollywood Redux</a>'], 'photo_reference': 'AeJbb3c7Yu7TFIVqz09YAatJfl20I-dykeXMmtb1vRUvl_v4JLwYplmwfZArcFGn0QXrBh6kk9O99uK6nX0F6ohl-4GhWRt-kKdIo7zXRaghPwYvs9K0iLNqY0sw56iTXpHecrMduyCdnXOkeDw7jArPdOOW_qKKXIZYmj71UsocooxWDLTK', 'width': 4080}]","100 Universal City Plaza, Universal City",23/07/2022,0.0,0,0,0
25,ChIJ_STuCE7GwoAR3vCqfD2J9es,"{'location': {'lat': 34.05558360000001, 'lng': -118.2457138}, 'viewport': {'northeast': {'lat': 34.05798524999999, 'lng': -118.24359765}, 'southwest': {'lat': 34.05477025, 'lng': -118.24964225}}}",Grand Park,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109783079306343400066"">Jose Ramos</a>'], 'photo_reference': 'AeJbb3cV8KdPH628luLSGLpIsVTBXaOfOb2W2pYWTTCo8OVE8na9bw0D-LSmiP079o3ad93sJAODrgPLgk1b2qW0P16x8Mi8UihpGUaIFX9ra4zqkigNz6xVf4XtxPbLRCAfyAK7NgCtOS6wZSm8-1fSgduMdK5kw3kbgMw0wu5FORgwFhxn', 'width': 3024}]","200 N Grand Ave, Los Angeles",23/07/2022,0.0,0,0,0
26,ChIJx9y0KwfqwoAR5-sWU6kp8iA,"{'location': {'lat': 34.2009509, 'lng': -118.2118943}, 'viewport': {'northeast': {'lat': 34.20557764999999, 'lng': -118.20901235}, 'southwest': {'lat': 34.19940865, 'lng': -118.2128549500001}}}",Descanso Gardens,"[{'height': 426, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105033852898332174494"">Vinh P</a>'], 'photo_reference': 'AeJbb3fUsB0vUw2B491D_TC4uQLid5Qx2DPmxmEfPxjXzWp6sBLwgyZuGnKgT-5CBUJ4zL8nALXWvgYfApODH8jsNPpI-xZSkICsqa38mWV678TLHjl4hZn4AJqLtjb7ZgjHwtwpD8D1tFV1lf1wwfRgPNmRsK6yD_zSbOdkLTv-rgURCXg', 'width': 640}]","1418 Descanso Dr, La Cañada Flintridge",23/07/2022,0.0,0,0,0
27,ChIJOe8VwQnIwoARB-EGOd2XBfY,"{'location': {'lat': 34.0139779, 'lng': -118.283428}, 'viewport': {'northeast': {'lat': 34.01528697989272, 'lng': -118.2819515701073}, 'southwest': {'lat': 34.01258732010728, 'lng': -118.2846512298928}}}",Exposition Park,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118186269355011381166"">이은총</a>'], 'photo_reference': 'AeJbb3cXTO-Lg76nAtFl5TLMnuAvCblZkXDP-uw2QF1_0Gs1uTyWMbPbmy15Lu_piIrWdHv0NXxjsMrsg7RB7qt1otDlijHJelasr3lNaS4B45MxAV8zvxXpRDH_gsFfEOxWze6QKMVBX1CBNenu93h-5yoA5c1KFS0OK75tt_znSOcf3wlN', 'width': 4608}]","700 Exposition Park Dr, Los Angeles",23/07/2022,0.0,0,0,0
28,ChIJJ3jwcTm_woARD-KJxmxOYE0,"{'location': {'lat': 34.1013511, 'lng': -118.3276026}, 'viewport': {'northeast': {'lat': 34.10283762989273, 'lng': -118.3262939701073}, 'southwest': {'lat': 34.10013797010728, 'lng': -118.3289936298927}}}",L.A. Hood Life Tours,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116362149438893700098"">J D</a>'], 'photo_reference': 'AeJbb3f2UL6I7SY8L6T8rUl48uvtMlww_w7ysN3Pijk2I7otiI9VArgA5asEnaNT4GSox1LITjRDxJZJ1NyXAje3pQW6gQHIGIwQ7EhSOXbbDlAangdIi2honNv-85WJBP9nahYW64HcPKnsMnKHcnN26MIHLcHRXh8BxbJEj4Dsb2wJFxZU', 'width': 4160}]","6326 Hollywood Blvd, Los Angeles",23/07/2022,0.0,0,0,0
29,ChIJMwknwRu_woAR_eI2OM9ib2o,"{'location': {'lat': 34.112224, 'lng': -118.3391279}, 'viewport': {'northeast': {'lat': 34.11398712989272, 'lng': -118.3372208201073}, 'southwest': {'lat': 34.11128747010728, 'lng': -118.3399204798928}}}",Hollywood Bowl,"[{'height': 3006, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101921677470335913472"">MARIO ALBARRACIN</a>'], 'photo_reference': 'AeJbb3cFtAJHKFf0KGbFlba5ClHXjVngJHm7BKdMMh_pcT_ItvSQbUcHF5_0BZtIQ-T31F-SPICdysXL5lArSm_MuSz4rOBKY5_F1PLSjbnTBSRCN-PEbFFL5iK8tPKIPIdO58rAY04WP_GpImIIhgn-icjY6pRumr9OXkAICbds6z8SAggG', 'width': 5344}]","2301 N Highland Ave, Los Angeles",23/07/2022,0.0,0,0,0
30,ChIJyUhV2VHGwoARafDzR0us4GU,"{'location': {'lat': 34.0577215, 'lng': -118.2449948}, 'viewport': {'northeast': {'lat': 34.05855152989272, 'lng': -118.2433402201073}, 'southwest': {'lat': 34.05585187010728, 'lng': -118.2460398798927}}}",Cathedral of Our Lady of the Angels,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111583469486334303276"">A Google User</a>'], 'photo_reference': 'AeJbb3cgsgXB8DUIItmnGF8f_xT_QEnuOTu912VcV4G0i3UNJagOa-1_10sevSZH5YrZNEEYkJAglcpNRk-hqbjpgLHznyYFmY5-RMH6LB8cAGIpJh4kKXlKifRV5NZiFEZw1kZN1fzOd6Y4NUTalzH0kvRxZtb52a9RRoNY1FYtE5388pDx', 'width': 3024}]","555 W Temple St, Los Angeles",23/07/2022,0.0,0,0,0
31,ChIJ0Vsle2bAwoARTRWdvRY8hXU,"{'location': {'lat': 34.14862, 'lng': -118.281213}, 'viewport': {'northeast': {'lat': 34.14984357989272, 'lng': -118.2802657201073}, 'southwest': {'lat': 34.14714392010728, 'lng': -118.2829653798927}}}",Autry Museum of the American West,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100099771318278874471"">A Google User</a>'], 'photo_reference': 'AeJbb3c8g3jE7GjQ_eqsKBXOZ9FLOs_2Ej6cpLjkoS5o5iDBL-T1Bn4ZdtpKh78syAn6ezP2qTjFyxYEjsj_DrqJPCXYIHH6m4d8n8V0uRyb-en-gZrZqdd5DDx8DaD4FbCEL1DTadWpb65M5T452RNEq_SnG9HVCFgg0zvthguoZBkJvIAc', 'width': 1080}]","Griffith Park, 4700 Western Heritage Way, Los Angeles",23/07/2022,0.0,0,0,0
